# ,06:00,07:00,09:00,16:00,18:00
Uithof_0,1,1,1,1,1
WKZ_0,0,0,0,0,0
UMC_0,0,0,0,0,0
Heidelberglaan_0,0,0,0,0,0
Padualaan_0,0.00985296346824314,0.103103103103103,0.00985296346824314,0.000372809742761277,0.00985296346824314
KrommeRijn_0,0.00191365584813227,0.00111607142857143,0.00191365584813227,0.000621581302834411,0.00191365584813227
Galgenwaard_0,0.0131145026459084,0.0301675977653631,0.0131145026459084,0.00833436994651076,0.0131145026459084
Vaartscherijn_0,0.0197388871619521,0.0679723502304147,0.0197388871619521,0.0289764174611139,0.0197388871619521
CentralStation_1,1,1,1,1,1
Vaartscherijn_1,0.104476251253533,0.0316639741518578,0.104476251253533,0.117764471057884,0.104476251253533
Galgenwaard_1,0.0768604296039906,0.0339228117005895,0.0768604296039906,0.10316742081448,0.0768604296039906
KrommeRijn_1,0.0566828407587119,0.0267096477089569,0.0566828407587119,0.147830474268416,0.0566828407587119
Padualaan_1,0.514729950900164,0.538325053229241,0.514729950900164,0.4251036116045,0.514729950900164
Heidelberglaan_1,0.664177306673091,0.648475531642326,0.664177306673091,0.515962924819773,0.664177306673091
UMC_1,0.829985652797704,0.800291545189504,0.829985652797704,0.685106382978723,0.829985652797704
WKZ_1,0.970464135021097,0.974452554744526,0.970464135021097,0.993243243243243,0.970464135021097
